,invoice_id,company_reg_number,invoice_date,invoice_amount,end_date,disputed,paper_or_electronic
0,1786,20000000,10/5,137.0,12/7,1,e
1,49628,20000000,10/7,135.0,28/10,0,e
2,6264,20000000,22/3,114.0,16/5,0,e
3,9726,20000000,8/3,123.0,7/5,0,e
4,79566,20000000,28/9,126.0,1/10,1,p
5,19025,20000000,9/9,146.0,16/12,0,e
6,18322,20000000,19/10,86.0,26/12,0,e
7,10417,20000000,18/5,123.0,12/6,1,p
8,59947,20000000,9/9,127.0,10/11,0,e
9,13262,20000000,21/5,106.0,27/7,0,p
11,72582,20000000,8/3,81.0,16/5,0,p
12,11034,20000000,18/3,145.0,13/4,1,e
13,33580,20000000,10/1,109.0,11/4,0,p
14,63352,20000000,28/2,143.0,3/5,0,p
15,30851,20000000,8/9,118.0,26/12,0,e
18,33155,20000000,18/8,113.0,12/10,1,e
19,58816,20000000,19/3,145.0,21/4,0,e
20,70665,20000000,18/9,106.0,11/12,0,e
21,31564,20000000,16/3,123.0,28/4,1,p
22,14821,20000000,25/11,133.0,18/12,0,p
23,11574,20000000,9/8,121.0,17/11,0,e
24,78486,20000000,10/3,101.0,15/5,0,e
26,18018,20000000,16/7,131.0,8/9,0,e
27,40493,20000000,25/3,130.0,28/5,0,e
30,47847,20000000,28/5,93.0,18/7,0,e
31,26887,20000000,26/9,138.0,8/11,0,e
32,25999,20000000,14/5,133.0,13/8,0,p
34,39308,20000000,9/1,134.0,9/3,1,e
36,25681,20000000,28/9,95.0,26/11,1,e
37,48952,20000000,14/3,116.0,24/5,0,e
38,13996,20000000,19/3,126.0,15/5,0,e
39,6530,20000000,19/1,121.0,26/4,0,e
41,74560,20000000,6/3,116.0,2/5,0,e
42,45639,20000000,17/4,162.0,24/7,0,e
44,45292,20000000,6/1,125.0,21/4,0,e
46,69333,20000000,28/9,133.0,14/12,0,e
47,14983,20000000,23/5,111.0,13/7,0,e
48,4934,20000000,25/9,129.0,27/11,0,e
50,19809,20000000,8/1,101.0,21/3,1,p
51,28604,20000000,8/5,151.0,26/7,0,e
52,76735,20000000,8/4,123.0,15/6,0,e
54,66597,20000000,21/7,108.0,21/9,0,e
55,74436,20000000,7/3,131.0,9/4,0,p
56,68100,20000000,6/9,92.0,6/12,0,p
57,59790,20000000,14/3,156.0,12/6,0,e
58,23074,20000000,14/9,110.0,28/11,0,e
59,41327,20000000,15/8,130.0,12/11,0,e
60,42161,20000000,17/9,119.0,14/10,0,e
61,57614,20000000,18/6,90.0,26/8,0,e
62,74777,20000000,23/4,161.0,27/5,0,e
63,29117,20000000,27/6,97.0,24/8,0,e
64,43528,20000000,3/1,130.0,9/4,0,e
65,21013,20000000,27/5,142.0,17/6,0,e
66,59781,20000000,2/3,109.0,10/6,0,e
67,3069,20000000,27/1,94.0,24/3,0,e
68,51405,20000000,19/4,144.0,27/6,0,e
69,11567,20000000,2/8,114.0,21/10,0,e
72,17579,20000000,4/3,122.0,26/4,0,e
73,62680,20000000,14/6,103.0,17/9,0,p
75,10348,20000000,6/4,88.0,27/6,1,e
77,19664,20000000,7/8,121.0,22/11,0,e
78,21367,20000000,28/5,128.0,9/7,0,e
79,41954,20000000,14/3,143.0,1/6,0,p
80,40762,20000000,18/9,85.0,22/11,0,e
82,1919,20000000,26/1,92.0,28/3,0,e
83,23242,20000000,14/1,152.0,11/4,0,e
84,3807,20000000,5/3,99.0,24/5,0,e
