,trading_status_wave03,trading_status_wave04,trading_status_wave05,trading_status_wave06,trading_status_wave07,trading_status_wave08,trading_status_wave09,trading_status_wave10,trading_status_wave11,trading_status_wave12,trading_status_wave13,trading_status_wave14,new_recruitment_wave03,new_recruitment_wave04,new_recruitment_wave05,new_recruitment_wave06,new_recruitment_wave07,new_recruitment_wave08,new_recruitment_wave09,new_recruitment_wave10,new_recruitment_wave11,new_recruitment_wave12,new_recruitment_wave13,new_recruitment_wave14,online_challenge_wave13,footfall_wave11,footfall_wave12,footfall_wave13,prices_bought_wave03,prices_bought_wave04,prices_bought_wave05,prices_bought_wave06,prices_bought_wave07,prices_bought_wave08,prices_bought_wave09,prices_bought_wave10,prices_bought_wave11,prices_bought_wave12,prices_bought_wave13,prices_bought_wave14,prices_sold_wave03,prices_sold_wave04,prices_sold_wave05,prices_sold_wave06,prices_sold_wave07,prices_sold_wave08,prices_sold_wave09,prices_sold_wave10,prices_sold_wave11,prices_sold_wave12,prices_sold_wave13,prices_sold_wave14,exporting_effect_wave04,exporting_effect_wave05,exporting_effect_wave06,exporting_effect_wave07,exporting_effect_wave08,exporting_effect_wave09,exporting_effect_wave10,exporting_effect_wave11,exporting_effect_wave12,exporting_effect_wave13,exporting_effect_wave14,importing_effect_wave04,importing_effect_wave05,importing_effect_wave06,importing_effect_wave07,importing_effect_wave08,importing_effect_wave09,importing_effect_wave10,importing_effect_wave11,importing_effect_wave12,importing_effect_wave13,importing_effect_wave14,stock_levels_wave07,stock_levels_wave08,stock_levels_wave09,stock_levels_wave10,stock_levels_wave11,stock_levels_wave12,stock_levels_wave13,stock_levels_wave14,turnover_wave03,turnover_wave04,turnover_wave05,turnover_wave06,turnover_wave07,turnover_wave08,turnover_wave09,turnover_wave10,turnover_wave11,turnover_wave12,turnover_wave13,turnover_wave14,turnover_vs_operating_cost_wave10,turnover_vs_operating_cost_wave11,turnover_vs_operating_cost_wave12,turnover_vs_operating_cost_wave13,turnover_vs_operating_cost_wave14,capex_wave07,capex_wave09,capex_wave11,capex_wave13,cash_flow_wave04,cash_flow_wave05,cash_flow_wave06,cash_flow_wave07,cash_flow_wave08,cash_flow_wave09,cash_flow_wave10,cash_flow_wave11,cash_flow_wave12,cash_flow_wave13,cash_flow_wave14,value_of_covid_based_loans_taken_out,company_reg_number
0,Currently trading,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Other,Not sure,Footfall has stayed the same,Footfall has decreased,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Not sure,"Some prices increased, some prices decreased",Prices did not change any more than normal,Not sure,N/A,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices decreased more than normal,Not sure,Not been able to export in the last two weeks,N/A,Not been able to export in the last two weeks,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Exporting more than normal,Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,"Importing, but less than normal",N/A,"Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Stock levels have not changed,Not sure,Stock levels are lower than normal,Stock levels have not changed,Stock levels are lower than normal,Not sure,Stock levels have not changed,Stock levels have not changed,-10,-38,N/A,0,0,-4,-9,-38,9,0,35,0,15,0,0,0,0,Not sure,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure has stopped,1 to 3 months,N/A,1 to 3 months,Less than 1 month,Not sure,Less than 1 month,Not sure,Not sure,Not sure,1 to 3 months,Not sure,31888,20000000
1,Has temporarily closed or temporarily paused trading,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Footfall has stayed the same,Footfall has stayed the same,Footfall has decreased,N/A,Not sure,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,N/A,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices decreased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Exporting has not been affected,N/A,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not sure,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal",Not been able to import in the last two weeks,N/A,"Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,N/A,0,N/A,-9,0,0,-9,0,0,0,-12,-33,0,-28,0,0,0,Not sure,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure has not been affected,4 to 6 months,N/A,4 to 6 months,4 to 6 months,1 to 3 months,1 to 3 months,1 to 3 months,Not sure,1 to 3 months,Not sure,Less than 1 month,0,20000001
2,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Exporting has not been affected,Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Importing more than normal,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Stock levels have not changed,Stock levels are lower than normal,Stock levels are higher than normal,Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,N/A,0,0,36,0,0,0,10,-13,13,0,0,0,-11,0,0,0,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure has not been affected,Not sure,More than 6 months,More than 6 months,Not sure,More than 6 months,More than 6 months,More than 6 months,Not sure,More than 6 months,More than 6 months,Not sure,28040,20000002
3,Currently trading,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Prices decreased more than normal,Prices did not change any more than normal,N/A,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Exporting has not been affected,N/A,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Not sure,"Importing, but less than normal",N/A,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,"Importing, but less than normal",Importing has not been affected,Importing more than normal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,N/A,0,-9,0,70,9,-11,-30,0,0,-68,-31,0,0,-9,Capital expenditure has stopped,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Not sure,N/A,More than 6 months,More than 6 months,4 to 6 months,Not sure,More than 6 months,More than 6 months,More than 6 months,4 to 6 months,4 to 6 months,30308,20000003
4,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Other,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Exporting has not been affected,Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting more than normal,Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,N/A,Not been able to import in the last two weeks,Not been able to import in the last two weeks,"Importing, but less than normal",Not been able to import in the last two weeks,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Not sure,Not sure,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Not sure,Stock levels are lower than normal,-79,N/A,0,-5,0,0,-3,-76,-83,0,38,0,0,0,0,0,4,Capital expenditure has not been affected,Not sure,Capital expenditure has not been affected,Capital expenditure has not been affected,N/A,4 to 6 months,1 to 3 months,1 to 3 months,1 to 3 months,Not sure,Not sure,Not sure,Less than 1 month,1 to 3 months,1 to 3 months,0,20000004
5,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,1,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting more than normal,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Not sure,Exporting has not been affected,Not sure,Not sure,"Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not sure,Importing has not been affected,"Importing, but less than normal","Importing, but less than normal",Importing has not been affected,Importing has not been affected,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Not sure,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,-8,-35,-29,-37,-86,-81,0,-10,-66,0,-9,0,0,0,0,0,7,Capital expenditure has stopped,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Capital expenditure has stopped,1 to 3 months,1 to 3 months,Not sure,1 to 3 months,1 to 3 months,Not sure,Not sure,1 to 3 months,1 to 3 months,Not sure,1 to 3 months,0,20000005
6,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,1,1,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,Prices increased more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not sure,Not been able to export in the last two weeks,Not sure,Exporting has not been affected,Not sure,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal","Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not sure,Importing has not been affected,Importing has not been affected,Not sure,Not sure,Importing has not been affected,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,-11,-8,0,-11,-10,0,0,0,0,0,8,20,0,9,7,Capital expenditure is lower than normal,Capital expenditure has not been affected,Capital expenditure has stopped,Capital expenditure has stopped,4 to 6 months,1 to 3 months,Not sure,1 to 3 months,Not sure,1 to 3 months,Less than 1 month,Not sure,Not sure,Not sure,Not sure,0,20000006
7,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Not sure,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Not been able to export in the last two weeks,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Not been able to import in the last two weeks,"Importing, but less than normal",Not sure,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Importing has not been affected,Importing has not been affected,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,-8,0,0,-14,0,8,9,-9,-38,-9,-4,-89,0,4,0,17,-34,Capital expenditure is lower than normal,Capital expenditure has stopped,Not sure,Capital expenditure is lower than normal,More than 6 months,Not sure,4 to 6 months,Not sure,4 to 6 months,More than 6 months,4 to 6 months,4 to 6 months,Not sure,1 to 3 months,Not sure,29572,20000007
8,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,1,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,"Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not sure,Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,0,0,0,0,0,-9,0,41,0,0,0,0,-34,0,3,9,Capital expenditure has not been affected,Capital expenditure is lower than normal,Capital expenditure is lower than normal,Not sure,Not sure,1 to 3 months,1 to 3 months,Not sure,Not sure,Not sure,Not sure,Not sure,1 to 3 months,Not sure,Less than 1 month,32356,20000008
9,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,"Lack of IT capacity, skills or technology within the business",Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices increased more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Exporting has not been affected,Not been able to export in the last two weeks,Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Not sure,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Importing has not been affected,Importing has not been affected,Not sure,Importing has not been affected,"Importing, but less than normal","Importing, but less than normal",Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are lower than normal,Stock levels are higher than normal,Not sure,0,0,0,10,-8,0,0,0,0,-9,0,9,11,-13,-4,10,0,Capital expenditure is lower than normal,Capital expenditure has stopped,Capital expenditure has not been affected,Capital expenditure has stopped,More than 6 months,More than 6 months,More than 6 months,4 to 6 months,Not sure,4 to 6 months,4 to 6 months,Not sure,1 to 3 months,1 to 3 months,4 to 6 months,31061,20000009
